Source_Module,Requested_Mat,Found_Category,Supplier,Location,Price_DA,Stock,Phone,Website
Module_01_Extraction,316 S/S,316 S/S,Acinox Algérie,Alger,83384.09,In Stock,+213 23 47 52 81,https://www.acinox-dz.com
Module_01_Extraction,316 S/S,316 S/S,Acinox Algérie,Alger,132116.86,Special Order,+213 23 47 52 81,https://www.acinox-dz.com
Module_01_Extraction,316 S/S,316 S/S,Acinox Algérie,Alger,149304.34,In Stock,+213 23 47 52 81,https://www.acinox-dz.com
Module_01_Extraction,316 S/S,316 S/S,Acinox Algérie,Alger,93577.2,Special Order,+213 23 47 52 81,https://www.acinox-dz.com
Module_01_Extraction,316 S/S,316 S/S,Acinox Algérie,Alger,85545.57,In Stock,+213 23 47 52 81,https://www.acinox-dz.com
Module_01_Extraction,316 S/S,316 S/S,Acinox Algérie,Alger,134010.53,In Stock,+213 23 47 52 81,https://www.acinox-dz.com
Module_01_Extraction,316 S/S,316 S/S,Acinox Algérie,Alger,102314.76,10-Day Lead Time,+213 23 47 52 81,https://www.acinox-dz.com
Module_01_Extraction,316 S/S,316 S/S,Acinox Algérie,Alger,59373.02,10-Day Lead Time,+213 23 47 52 81,https://www.acinox-dz.com
Module_01_Extraction,316 S/S,316 S/S,Acinox Algérie,Alger,142439.62,In Stock,+213 23 47 52 81,https://www.acinox-dz.com
Module_01_Extraction,316 S/S,316 S/S,Acinox Algérie,Alger,84769.61,In Stock,+213 23 47 52 81,https://www.acinox-dz.com
Module_01_Extraction,316 S/S,316 S/S,Acinox Algérie,Alger,138720.02,10-Day Lead Time,+213 23 47 52 81,https://www.acinox-dz.com
Module_01_Extraction,316 S/S,316 S/S,Acinox Algérie,Alger,44564.04,10-Day Lead Time,+213 23 47 52 81,https://www.acinox-dz.com
Module_01_Extraction,316 S/S,316 S/S,Acinox Algérie,Alger,56553.73,Special Order,+213 23 47 52 81,https://www.acinox-dz.com
Module_01_Extraction,316 S/S,316 S/S,Acinox Algérie,Alger,44405.68,Special Order,+213 23 47 52 81,https://www.acinox-dz.com
Module_01_Extraction,316 S/S,316 S/S,Acinox Algérie,Alger,80628.05,In Stock,+213 23 47 52 81,https://www.acinox-dz.com
Module_01_Extraction,316 S/S,316 S/S,Acinox Algérie,Alger,124314.98,In Stock,+213 23 47 52 81,https://www.acinox-dz.com
Module_01_Extraction,316 S/S,316 S/S,Acinox Algérie,Alger,118071.61,In Stock,+213 23 47 52 81,https://www.acinox-dz.com
