Supplier,Email,Material,Order_Qty,Price_USD,Price_DZD,Currency_Base,Market_Ref_USD,Stock_Status,Phone,Website
Acinox Algérie,sales@acinox-dz.com,316 S/S,200,1474.05,198259.73,USD,6.2,Lead Time: 1 Week,+213 23 47 52 81,https://acinox-dz.com
Acinox Algérie,sales@acinox-dz.com,316 S/S,100,761.8,102462.1,USD,6.2,In Stock,+213 23 47 52 81,https://acinox-dz.com
Acinox Algérie,sales@acinox-dz.com,316 S/S,50,383.41,51568.65,USD,6.2,In Stock,+213 23 47 52 81,https://acinox-dz.com
Acinox Algérie,sales@acinox-dz.com,316 S/S,50,344.82,46378.29,USD,6.2,In Stock,+213 23 47 52 81,https://acinox-dz.com
Acinox Algérie,sales@acinox-dz.com,316 S/S,200,1446.78,194591.91,USD,6.2,In Stock,+213 23 47 52 81,https://acinox-dz.com
Acinox Algérie,sales@acinox-dz.com,316 S/S,200,1591.84,214102.48,USD,6.2,In Stock,+213 23 47 52 81,https://acinox-dz.com
Acinox Algérie,sales@acinox-dz.com,316 S/S,100,754.21,101441.25,USD,6.2,In Stock,+213 23 47 52 81,https://acinox-dz.com
Acinox Algérie,sales@acinox-dz.com,316 S/S,100,751.34,101055.23,USD,6.2,Lead Time: 1 Week,+213 23 47 52 81,https://acinox-dz.com
Acinox Algérie,sales@acinox-dz.com,316 S/S,10,79.19,10651.06,USD,6.2,Lead Time: 1 Week,+213 23 47 52 81,https://acinox-dz.com
Acinox Algérie,sales@acinox-dz.com,316 S/S,500,3572.03,480438.04,USD,6.2,In Stock,+213 23 47 52 81,https://acinox-dz.com
Acinox Algérie,sales@acinox-dz.com,316 S/S,10,69.09,9292.6,USD,6.2,Lead Time: 1 Week,+213 23 47 52 81,https://acinox-dz.com
Acinox Algérie,sales@acinox-dz.com,316 S/S,200,1534.72,206419.84,USD,6.2,In Stock,+213 23 47 52 81,https://acinox-dz.com
Acinox Algérie,sales@acinox-dz.com,316 S/S,100,758.8,102058.6,USD,6.2,In Stock,+213 23 47 52 81,https://acinox-dz.com
Acinox Algérie,sales@acinox-dz.com,316 S/S,200,1468.09,197458.1,USD,6.2,In Stock,+213 23 47 52 81,https://acinox-dz.com
Acinox Algérie,sales@acinox-dz.com,316 S/S,100,804.73,108236.18,USD,6.2,In Stock,+213 23 47 52 81,https://acinox-dz.com
Acinox Algérie,sales@acinox-dz.com,316 S/S,200,1467.12,197327.64,USD,6.2,Lead Time: 1 Week,+213 23 47 52 81,https://acinox-dz.com
Acinox Algérie,sales@acinox-dz.com,316 S/S,50,348.51,46874.6,USD,6.2,Lead Time: 1 Week,+213 23 47 52 81,https://acinox-dz.com
Acinox Algérie,sales@acinox-dz.com,316 S/S,10,80.2,10786.9,USD,6.2,Lead Time: 1 Week,+213 23 47 52 81,https://acinox-dz.com
Acinox Algérie,sales@acinox-dz.com,316 S/S,100,723.0,97243.5,USD,6.2,Lead Time: 1 Week,+213 23 47 52 81,https://acinox-dz.com
Acinox Algérie,sales@acinox-dz.com,316 S/S,100,791.34,106435.23,USD,6.2,In Stock,+213 23 47 52 81,https://acinox-dz.com
Acinox Algérie,sales@acinox-dz.com,316 S/S,10,71.87,9666.52,USD,6.2,In Stock,+213 23 47 52 81,https://acinox-dz.com
Acinox Algérie,sales@acinox-dz.com,316 S/S,200,1479.04,198930.88,USD,6.2,Lead Time: 1 Week,+213 23 47 52 81,https://acinox-dz.com
Acinox Algérie,sales@acinox-dz.com,316 S/S,500,3530.64,474871.08,USD,6.2,Lead Time: 1 Week,+213 23 47 52 81,https://acinox-dz.com
Acinox Algérie,sales@acinox-dz.com,316 S/S,50,374.03,50307.03,USD,6.2,In Stock,+213 23 47 52 81,https://acinox-dz.com
Acinox Algérie,sales@acinox-dz.com,316 S/S,200,1414.0,190183.0,USD,6.2,In Stock,+213 23 47 52 81,https://acinox-dz.com
Tosyalı Algeria,info@tosyali.com.dz,Carbon Steel,100,99.85,13429.82,USD,0.85,In Stock,+213 23 47 52 81,https://tosyali-algeria.com
Titanium Industries,global.sales@titanium.com,Titanium,100,1763.59,237202.85,USD,15.4,In Stock,+213 23 47 52 81,https://titanium.com
Special Metals Corp,orders@specialmetals.com,Inconel,200,5739.49,771961.41,USD,22.1,In Stock,+213 23 47 52 81,https://specialmetals.com
Nexans Algérie,contact@nexans.dz,Copper,200,2275.58,306065.51,USD,9.1,Lead Time: 1 Week,+213 23 47 52 81,https://nexans.dz
Sarl Metal-Al,contact@metalal-dz.com,Aluminum,200,617.37,83036.26,USD,2.4,In Stock,+213 23 47 52 81,https://metalal-dz.com
AZ PLAST PVC,info@azplast.dz,PVC-U,50,70.11,9429.8,USD,1.2,In Stock,+213 23 47 52 81,https://azplast.dz
Sarl Fonderie de l'Est,contact@fonderie-est.dz,Cast Iron,200,111.15,14949.68,USD,0.45,Lead Time: 1 Week,+213 23 47 52 81,https://fonderie-est.dz
Acinox Algérie,sales@acinox-dz.com,316 S/S,100,708.75,95326.88,USD,6.2,In Stock,+213 23 47 52 81,https://acinox-dz.com
Tosyalı Algeria,info@tosyali.com.dz,Carbon Steel,50,50.11,6739.8,USD,0.85,In Stock,+213 23 47 52 81,https://tosyali-algeria.com
Titanium Industries,global.sales@titanium.com,Titanium,200,3418.0,459721.0,USD,15.4,Lead Time: 1 Week,+213 23 47 52 81,https://titanium.com
Special Metals Corp,orders@specialmetals.com,Inconel,500,12558.6,1689131.7,USD,22.1,In Stock,+213 23 47 52 81,https://specialmetals.com
Nexans Algérie,contact@nexans.dz,Copper,200,2178.16,292962.52,USD,9.1,Lead Time: 1 Week,+213 23 47 52 81,https://nexans.dz
Sarl Metal-Al,contact@metalal-dz.com,Aluminum,200,556.27,74818.32,USD,2.4,In Stock,+213 23 47 52 81,https://metalal-dz.com
AZ PLAST PVC,info@azplast.dz,PVC-U,10,14.18,1907.21,USD,1.2,Lead Time: 1 Week,+213 23 47 52 81,https://azplast.dz
Sarl Fonderie de l'Est,contact@fonderie-est.dz,Cast Iron,10,5.01,673.85,USD,0.45,In Stock,+213 23 47 52 81,https://fonderie-est.dz
Acinox Algérie,sales@acinox-dz.com,316 S/S,10,79.36,10673.92,USD,6.2,Lead Time: 1 Week,+213 23 47 52 81,https://acinox-dz.com
Tosyalı Algeria,info@tosyali.com.dz,Carbon Steel,10,10.11,1359.79,USD,0.85,Lead Time: 1 Week,+213 23 47 52 81,https://tosyali-algeria.com
Titanium Industries,global.sales@titanium.com,Titanium,500,9001.79,1210740.76,USD,15.4,In Stock,+213 23 47 52 81,https://titanium.com
Special Metals Corp,orders@specialmetals.com,Inconel,500,12794.02,1720795.69,USD,22.1,In Stock,+213 23 47 52 81,https://specialmetals.com
Nexans Algérie,contact@nexans.dz,Copper,500,5153.01,693079.84,USD,9.1,Lead Time: 1 Week,+213 23 47 52 81,https://nexans.dz
Sarl Metal-Al,contact@metalal-dz.com,Aluminum,100,282.92,38052.74,USD,2.4,Lead Time: 1 Week,+213 23 47 52 81,https://metalal-dz.com
AZ PLAST PVC,info@azplast.dz,PVC-U,500,731.55,98393.47,USD,1.2,Lead Time: 1 Week,+213 23 47 52 81,https://azplast.dz
Sarl Fonderie de l'Est,contact@fonderie-est.dz,Cast Iron,200,107.75,14492.38,USD,0.45,In Stock,+213 23 47 52 81,https://fonderie-est.dz
Acinox Algérie,sales@acinox-dz.com,316 S/S,100,785.21,105610.75,USD,6.2,Lead Time: 1 Week,+213 23 47 52 81,https://acinox-dz.com
Tosyalı Algeria,info@tosyali.com.dz,Carbon Steel,50,49.92,6714.24,USD,0.85,In Stock,+213 23 47 52 81,https://tosyali-algeria.com
Titanium Industries,global.sales@titanium.com,Titanium,200,3958.15,532371.18,USD,15.4,Lead Time: 1 Week,+213 23 47 52 81,https://titanium.com
Special Metals Corp,orders@specialmetals.com,Inconel,100,2839.95,381973.27,USD,22.1,In Stock,+213 23 47 52 81,https://specialmetals.com
Nexans Algérie,contact@nexans.dz,Copper,500,5609.41,754465.65,USD,9.1,In Stock,+213 23 47 52 81,https://nexans.dz
